id,distribution,consent,gender,age,mcq,stars_test1,stars_int1,stars_help1,stars_test2,stars_int2,stars_int3,stars_int4,stars_test3,stars_int5,stars_test4,stars_int6,stars_int7,stars_test5,stars_int8,stars_test6,stars_help2,stars_int9,stars_int10,stars_help3,stars_int11,stars_test7,stars_test8,stars_help4,stars_m_test1,stars_m_int1,stars_m_help1,stars_m_test2,stars_m_int2,stars_m_int3,stars_m_int4,stars_m_test3,stars_m_test4,stars_m_int6,stars_m_test5,stars_m_int8,stars_m_test6,stars_m_help2,stars_m_int10,stars_m_help3,stars_m_int11,stars_m_test7,stars_m_test8,stars_m_help4,rmars_test1,rmars_test2,rmars_test3,rmars_test4,rmars_test5,rmars_test6,rmars_test7,rmars_test8,rmars_test9,rmars_test10,rmars_num1,rmars_num2,rmars_num3,rmars_num4,rmars_num5,rmars_course1,rmars_course2,rmars_course3,rmars_course4,rmars_course5,rmars_s_test1,rmars_s_test2,rmars_s_test3,rmars_s_test4,rmars_s_test5,rmars_s_test6,rmars_s_test7,rmars_s_test8,rmars_s_test9,rmars_s_test10,rmars_s_num1,rmars_s_num2,rmars_s_num3,rmars_s_num4,rmars_s_num5,rmars_s_course1,rmars_s_course2,rmars_s_course3,rmars_s_course4,rmars_s_course5,sticsa_trait_1,sticsa_trait_2,sticsa_trait_3,sticsa_trait_4,sticsa_trait_5,sticsa_trait_6,sticsa_trait_7,sticsa_trait_8,sticsa_trait_9,sticsa_trait_10,sticsa_trait_11,sticsa_trait_12,sticsa_trait_13,sticsa_trait_14,sticsa_trait_15,sticsa_trait_16,sticsa_trait_17,sticsa_trait_18,sticsa_trait_19,sticsa_trait_20,sticsa_trait_21,sticsa_pre_state_1,sticsa_pre_state_2,sticsa_pre_state_3,sticsa_pre_state_4,sticsa_pre_state_5,sticsa_pre_state_6,sticsa_pre_state_7,sticsa_pre_state_8,sticsa_pre_state_9,sticsa_pre_state_10,sticsa_pre_state_11,sticsa_pre_state_12,sticsa_pre_state_13,sticsa_pre_state_14,sticsa_pre_state_15,sticsa_pre_state_16,sticsa_pre_state_17,sticsa_pre_state_18,sticsa_pre_state_19,sticsa_pre_state_20,sticsa_pre_state_21,mcq_stats_1,mcq_stats_2,mcq_stats_3,mcq_stats_4,mcq_stats_5,mcq_maths_1,mcq_maths_2,mcq_maths_3,mcq_maths_4,mcq_maths_5,sticsa_post_state_1,sticsa_post_state_2,sticsa_post_state_3,sticsa_post_state_4,sticsa_post_state_5,sticsa_post_state_6,sticsa_post_state_7,sticsa_post_state_8,sticsa_post_state_9,sticsa_post_state_10,sticsa_post_state_11,sticsa_post_state_12,sticsa_post_state_13,sticsa_post_state_14,sticsa_post_state_15,sticsa_post_state_16,sticsa_post_state_17,sticsa_post_state_18,sticsa_post_state_19,sticsa_post_state_20,sticsa_post_state_21
Vu8ja,anonymous,Yes,female,20,maths,2,2,5,2,4,3,4,5,2,5,4,3,4,3,4,5,2,3,5,4,3,4,4,2,3,5,2,4,3,3,5,5,1,4,4,4,4,2,5,4,2,4,3,2,5,5,2,5,5,5,5,5,5,2,2,2,3,2,2,4,2,2,2,4,5,5,5,5,5,5,4,5,5,2,4,2,3,3,2,3,2,2,2,4,3,3,4,3,4,2,4,4,4,4,4,4,2,2,4,4,4,4,4,4,3,1,4,4,2,2,1,2,4,4,4,2,4,1,2,4,4,4,3,4,2,NA,NA,NA,NA,NA,0,1,0,1,1,4,1,3,1,3,1,1,3,3,4,4,4,3,1,1,3,2,3,3,4,3
m7RM9,anonymous,NA,male,20,stats,3,3,5,4,3,3,3,5,2,4,1,4,5,1,4,5,3,4,3,3,2,5,3,2,2,4,4,3,2,3,4,5,1,5,4,4,4,4,3,3,2,4,3,2,4,4,4,2,5,5,2,5,5,1,3,1,1,1,1,5,2,4,2,4,4,5,5,2,5,5,3,5,5,1,4,4,4,4,2,5,2,5,3,4,4,2,4,4,1,1,2,4,3,4,1,4,2,4,4,3,3,3,3,4,1,1,3,3,1,1,1,1,3,3,4,1,3,1,1,4,3,1,2,1,1,1,1,0,1,0,NA,NA,NA,NA,NA,3,2,2,4,3,1,1,2,3,2,3,1,3,2,1,4,2,2,2,1,1
YDlvy,anonymous,Yes,female,39,stats,4,3,2,4,3,3,4,4,2,4,2,2,4,4,NA,2,3,2,2,3,1,5,2,2,2,2,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,3,2,2,3,2,3,3,3,3,2,3,3,1,2,1,2,2,1,2,2,2,2,3,3,2,5,2,4,4,3,5,5,1,3,3,2,2,1,3,3,4,2,2,1,1,1,2,1,1,2,1,2,2,2,1,1,1,3,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,3,1,1,1,1,2,2,2,1,1,2,2,4,1,3,1,2
K5AI8,anonymous,Yes,female,20,maths,2,1,1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,3,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,NA,NA,NA,NA,NA,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,NA,1,1,1,2,2,1,2,2,1
sXQ1a,anonymous,Yes,female,19,maths,3,3,3,3,2,2,3,3,3,3,2,3,2,3,3,3,2,2,4,2,2,3,4,3,2,2,2,2,2,2,3,3,1,2,3,3,2,2,4,3,1,2,3,3,2,2,3,3,3,2,2,2,3,1,1,1,1,1,1,1,1,1,2,2,3,2,3,3,4,3,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,3,3,1,1,2,2,3,2,2,2,3,2,1,4,2,2,2,2,3,3,1,3,1,1,1,2,2,2,2,1,1,2,1,1,2,3,1,1,1,2,NA,NA,NA,NA,NA,0,1,1,1,1,3,1,2,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2,1
60RT2,anonymous,Yes,female,18,stats,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,3,2,2,2,3,2,2,2,2,2,1,3,2,2,2,2,3,3,2,2,2,3,2,2,2,2,3,1,2,3,3,2,2,1,1,3,2,3,3,2,3,2,3,3,2,2,4,1,3,3,3,2,2,1,2,2,2,2,2,3,2,2,2,2,2,3,3,3,2,3,2,2,3,3,3,3,2,2,2,1,2,3,2,1,1,1,2,2,2,1,2,1,1,2,2,2,3,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1
Er8lG,anonymous,Yes,female,18,maths,1,3,3,3,2,3,4,1,1,1,2,4,4,1,1,3,1,1,3,3,1,1,4,1,4,4,4,1,3,2,1,1,1,4,4,1,4,1,2,3,1,NA,4,1,3,1,1,1,1,1,1,1,1,3,1,1,2,1,1,2,1,4,1,2,2,1,2,2,1,1,1,1,2,3,2,2,3,4,1,3,2,5,1,1,2,3,3,2,1,1,2,2,4,3,1,1,1,1,3,3,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,0,1,1,3,1,2,1,2,1,1,1,1,1,3,2,2,1,1,1,2,1,2,3,1
R47v6,anonymous,Yes,other/pnts,18,maths,2,1,1,2,1,2,3,2,1,2,1,3,1,1,2,1,1,1,1,2,3,1,1,3,2,1,3,1,2,4,2,2,1,2,2,2,1,4,3,2,4,1,1,2,3,2,2,1,1,3,5,2,4,1,1,1,2,2,NA,3,3,1,1,2,3,2,2,1,2,2,3,2,3,1,1,1,1,1,1,1,2,1,1,3,3,3,3,3,2,2,2,2,3,1,4,2,3,2,2,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
Kf7xs,anonymous,Yes,female,18,stats,4,4,3,4,4,3,4,5,3,3,4,3,3,4,4,3,4,4,3,5,4,4,4,5,5,2,5,4,2,4,3,5,5,4,NA,5,3,4,3,4,3,5,4,3,3,3,4,4,3,4,4,5,4,4,4,4,4,4,4,4,3,4,2,3,5,4,5,5,5,5,5,4,5,4,5,4,4,4,2,4,4,5,3,4,3,3,4,3,3,2,3,3,2,3,4,2,2,3,3,3,2,3,4,4,1,2,2,1,2,1,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,0,1,1,0,0,NA,NA,NA,NA,NA,1,1,2,2,1,1,2,2,1,2,1,2,1,2,1,1,2,1,2,2,2
IybPq,anonymous,Yes,female,19,stats,4,3,4,4,4,4,4,4,2,3,3,3,5,3,5,3,3,3,2,4,2,4,4,2,4,3,3,4,3,4,4,4,2,3,4,4,2,2,2,4,2,4,5,3,4,5,5,4,3,4,2,5,4,1,4,2,4,4,1,1,2,2,2,4,5,4,5,2,4,4,2,5,5,1,4,3,4,4,1,1,3,3,2,4,1,2,3,3,2,1,3,1,4,4,3,3,2,3,4,3,3,2,4,4,1,1,3,2,3,1,1,1,1,3,4,3,4,1,2,2,3,1,3,1,1,1,1,0,1,0,NA,NA,NA,NA,NA,3,2,2,1,1,1,1,2,2,1,3,3,3,1,1,1,2,3,2,3,2
VpL9v,anonymous,No,female,19,maths,4,3,4,4,4,3,4,5,3,5,4,4,4,3,5,3,3,4,4,4,4,4,3,5,3,5,4,3,3,3,5,5,4,4,4,5,3,4,3,4,4,4,2,5,4,5,5,4,5,4,4,5,5,1,4,3,3,3,2,3,3,4,2,4,4,5,5,4,5,5,4,5,5,1,3,4,4,4,2,3,4,3,2,4,2,3,2,3,2,3,4,2,3,4,4,2,2,2,3,3,3,3,4,3,3,2,2,2,2,2,2,4,2,3,3,3,2,2,2,2,3,2,3,4,2,NA,NA,NA,NA,NA,1,1,0,0,1,2,2,1,3,2,2,2,3,2,2,3,2,1,2,2,1,2,1,2,3,1
jHGu5,anonymous,Yes,female,45,maths,4,5,1,2,4,2,5,5,4,4,3,5,3,2,5,2,4,2,3,5,1,4,2,4,3,1,2,2,4,4,5,4,2,3,2,4,2,2,2,4,1,3,2,4,2,4,5,4,4,4,2,4,4,1,2,2,2,3,1,2,1,3,1,4,5,4,5,4,5,5,2,4,5,1,3,2,5,4,1,2,1,2,1,2,1,1,1,1,1,1,2,2,3,2,1,2,1,1,3,3,1,1,2,3,1,3,1,1,1,2,2,1,1,3,2,1,2,1,1,2,3,1,1,2,2,NA,NA,NA,NA,NA,1,1,0,1,1,3,3,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,2,1,2,2
1YdZV,anonymous,Yes,female,19,stats,4,2,3,3,2,2,3,3,1,3,2,3,3,1,2,2,1,2,2,3,2,4,1,4,2,4,3,3,3,2,4,2,1,3,2,3,3,2,1,2,2,4,1,3,3,2,5,3,2,2,4,5,3,1,2,1,1,1,1,2,2,2,1,3,4,2,5,3,2,3,3,5,3,1,3,3,2,2,1,1,2,3,2,3,2,3,1,1,1,1,3,1,2,3,2,3,2,3,3,3,2,1,3,1,2,1,1,1,1,1,1,2,1,2,3,2,3,1,1,3,2,1,1,2,1,0,0,0,1,1,NA,NA,NA,NA,NA,3,1,2,1,1,1,1,2,1,1,3,2,3,1,3,3,2,1,1,2,1
udr3I,anonymous,Yes,other/pnts,18,maths,3,2,4,3,1,2,3,4,1,4,1,1,3,2,5,1,1,1,3,2,2,2,1,3,1,3,3,1,1,1,4,4,1,2,1,5,3,1,3,1,2,2,2,3,2,4,5,4,5,5,1,4,4,1,1,1,1,1,1,1,4,1,1,3,2,4,5,3,5,5,1,5,4,1,3,2,2,2,1,1,2,1,1,2,3,2,3,3,1,1,1,3,3,2,2,1,2,2,1,2,2,3,3,1,2,3,1,2,1,1,1,1,1,2,1,3,1,1,2,1,2,1,3,2,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,2,3,1,1,1,1,1,1,1,2,2,3,1,1,2,1,2,1,2,2,1
daDjs,anonymous,Yes,female,19,stats,4,2,2,2,3,2,2,3,2,4,2,2,5,3,4,2,1,2,2,1,1,1,2,3,2,2,2,3,3,3,4,4,2,3,2,4,2,2,2,2,2,1,1,4,4,4,5,4,4,3,2,5,4,1,3,1,2,3,1,2,4,5,1,4,4,3,5,4,2,3,2,5,4,1,2,3,4,3,1,2,1,5,2,3,2,3,3,2,2,1,2,2,2,2,1,3,1,1,4,3,1,4,3,1,2,3,2,2,1,1,1,2,4,3,1,1,1,1,3,2,4,2,3,2,1,1,0,0,1,1,NA,NA,NA,NA,NA,3,3,2,1,1,1,1,2,2,3,1,1,1,2,2,2,2,1,4,2,1
qhsfF,anonymous,Yes,female,18,maths,5,1,1,3,3,1,4,4,1,5,2,1,1,2,5,1,1,2,1,2,2,2,1,3,2,1,4,3,1,3,5,4,1,3,2,5,1,2,1,3,2,2,1,4,3,3,5,4,4,5,3,5,5,1,1,1,1,3,1,2,2,2,1,4,4,2,5,3,4,4,3,5,5,1,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
w7s9C,anonymous,Yes,other/pnts,19,maths,1,2,1,2,3,1,2,2,1,2,2,2,4,2,3,1,2,1,1,2,1,3,1,2,1,1,2,2,1,2,2,2,1,4,2,2,1,1,1,1,1,3,1,1,1,3,3,2,2,3,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,1,4,5,1,3,3,1,2,1,1,1,2,1,3,3,1,2,4,1,1,1,2,2,2,3,2,2,2,2,3,2,2,1,1,3,3,1,1,3,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,0,1,0,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1
42gb3,anonymous,Yes,other/pnts,20,stats,3,2,1,4,1,1,4,5,1,5,2,2,4,3,5,1,1,1,1,2,3,3,1,4,1,1,3,2,2,1,5,5,2,3,2,4,2,1,2,1,1,2,1,2,4,3,5,4,4,4,1,4,3,1,1,1,1,1,1,1,1,1,1,4,4,4,5,4,5,5,3,5,4,1,1,1,1,1,1,1,2,1,1,3,3,3,3,2,3,2,1,2,4,2,1,4,1,1,3,4,3,4,2,2,1,2,4,3,2,1,1,1,3,4,2,1,3,1,1,3,4,1,4,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,2,2,1,1,1,1,3,3,3,1,4,1,1,1,4,2,3,2,1
9C8jB,anonymous,Yes,other/pnts,19,stats,5,3,4,5,3,1,5,5,1,4,2,4,4,4,4,4,3,1,3,2,4,4,3,5,4,4,4,2,2,3,5,4,1,4,4,4,4,3,4,3,4,4,2,4,4,4,5,3,4,5,5,5,5,1,2,2,2,2,1,3,4,3,3,5,5,3,5,3,5,5,3,5,4,1,1,1,1,2,1,3,4,2,3,3,1,2,4,4,1,1,1,4,4,4,3,4,1,2,2,3,2,4,3,3,1,1,1,1,2,1,1,1,2,3,2,1,3,1,1,1,3,1,1,2,1,1,1,0,1,1,NA,NA,NA,NA,NA,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1
BxoYr,anonymous,Yes,male,19,maths,5,4,3,5,5,3,5,5,3,5,4,4,4,5,5,3,3,4,3,4,5,3,3,5,5,3,5,5,4,5,5,5,3,4,5,5,3,4,3,5,5,5,4,5,5,4,5,5,5,5,5,5,5,3,2,2,5,4,3,4,5,5,4,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,3,4,5,4,3,4,3,3,1,2,4,3,4,3,3,3,1,2,4,4,2,3,4,3,2,4,3,4,2,1,1,1,3,3,2,2,3,1,2,4,4,3,3,3,2,1,4,NA,NA,NA,NA,NA,1,0,0,1,1,4,4,4,2,1,3,4,4,4,3,4,3,3,4,4,1,4,4,2,2,4
CZAvP,anonymous,Yes,female,20,maths,3,3,3,3,3,2,3,4,3,NA,3,3,3,3,2,3,3,2,2,2,1,2,3,2,3,2,3,2,3,2,2,2,3,3,2,1,2,2,3,3,1,2,2,3,2,2,3,3,3,2,3,3,3,1,2,3,1,3,1,2,1,3,1,3,3,3,3,3,3,2,3,3,3,1,3,2,3,1,1,3,2,3,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wgZsr,anonymous,Yes,other/pnts,20,stats,4,2,3,3,3,2,3,4,1,3,2,2,3,1,4,3,3,1,3,2,2,2,3,4,3,3,3,4,3,3,4,3,2,3,2,4,3,2,3,3,2,2,3,4,4,4,5,3,4,4,3,5,3,1,3,2,3,3,1,2,2,2,2,4,3,3,5,3,3,3,3,5,4,1,2,2,3,3,1,2,2,2,2,2,1,1,2,1,2,2,1,1,2,2,2,1,1,2,3,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,3,2,1,1,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,3
RVUhK,anonymous,Yes,female,19,maths,5,2,2,4,2,1,3,5,2,4,1,1,4,2,4,2,1,2,2,1,2,5,2,4,2,3,4,1,2,2,5,5,2,4,2,4,2,2,2,2,2,5,2,2,4,5,5,4,4,5,2,5,5,1,1,1,1,2,1,2,2,2,1,2,4,5,5,4,4,5,2,5,5,1,3,2,2,4,1,2,2,2,2,3,3,3,4,3,1,3,3,4,2,3,1,4,2,3,4,2,2,4,1,1,2,3,3,4,3,1,2,2,3,3,2,1,3,1,3,4,3,2,3,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,3,2,2,3,3,1,1,1,3,3,3,1,3,1,1,3,3,2,3,1,1
PHYsH,anonymous,Yes,female,19,stats,5,4,4,5,5,2,5,5,1,4,2,3,2,2,5,2,1,3,2,4,4,2,2,4,3,4,4,4,2,2,4,4,1,3,5,4,2,2,2,4,2,1,2,3,5,4,4,3,3,3,5,2,4,2,2,3,2,3,1,2,1,2,2,5,5,5,5,4,5,4,5,4,5,2,2,2,4,3,1,3,2,4,2,3,4,4,4,4,3,3,3,4,4,4,2,4,3,4,4,4,2,4,4,1,2,4,4,4,4,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,1,1,0,1,1,NA,NA,NA,NA,NA,4,4,4,4,3,2,4,3,4,4,4,1,4,3,3,4,4,3,4,3,1
1crQC,anonymous,Yes,female,19,maths,3,2,2,3,2,1,3,3,1,1,1,1,3,1,4,3,2,2,2,3,1,3,2,3,1,2,2,1,2,2,3,2,1,3,2,4,2,1,2,1,1,3,1,3,4,3,4,2,3,3,3,4,3,1,1,1,1,1,1,1,1,1,1,3,2,3,3,2,3,4,4,4,3,1,4,2,2,3,2,2,2,2,2,1,1,1,3,1,1,1,1,2,2,1,1,2,1,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,0,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,3,1,2,2,1
AU8Xf,anonymous,Yes,female,19,stats,3,3,2,2,3,2,2,3,3,3,1,3,4,3,4,2,2,2,2,2,2,2,2,2,4,2,3,3,3,3,3,3,2,4,2,3,2,4,2,3,2,2,1,2,1,2,2,4,4,4,2,3,3,1,2,3,2,3,3,NA,2,3,1,3,2,2,2,3,4,4,3,2,2,1,2,2,2,2,3,4,2,4,2,3,1,3,1,2,2,2,1,2,2,1,1,1,3,1,2,1,2,1,3,2,2,2,2,1,1,1,2,1,1,1,1,1,1,3,2,1,1,2,1,2,1,1,0,0,1,1,NA,NA,NA,NA,NA,1,1,1,1,2,1,3,1,1,1,NA,1,1,3,1,1,1,1,1,2,1
bWJ9P,anonymous,Yes,female,19,maths,4,2,2,3,2,1,2,5,1,5,1,3,2,1,5,2,1,1,1,1,3,1,1,4,1,2,4,1,1,2,5,4,1,3,1,5,2,1,1,1,2,5,1,4,5,5,5,5,5,5,5,5,5,1,3,2,2,3,1,2,2,1,2,4,5,5,5,4,5,5,4,5,5,1,1,2,3,1,1,1,2,1,1,1,2,2,2,1,1,1,1,3,3,4,2,3,1,1,NA,4,1,3,2,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,1,0,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1
EGFk2,anonymous,Yes,female,18,maths,5,5,3,5,1,1,5,5,5,5,1,5,2,2,5,2,5,5,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,2,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,1,5,5,5,5,1,5,5,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,0,0,0,0,3,1,4,3,1,4,3,1,4,4,4,2,4,1,1,1,3,1,1,3,1
4fj5T,anonymous,Yes,male,180,stats,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,4,1,2,1,2,2,1,2,1,2,1,3,2,1,2,2,1,2,2,1,3,3,2,1,2,3,3,3,2,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qb9LW,anonymous,Yes,other/pnts,19,maths,3,3,4,4,3,2,4,3,4,3,3,2,3,2,4,4,2,3,2,4,2,3,3,4,2,4,4,2,3,4,4,4,3,3,2,4,4,3,4,3,3,2,4,4,5,5,5,4,4,5,4,3,4,1,1,1,2,3,3,4,2,3,3,4,5,3,5,4,4,5,4,1,4,1,4,2,3,2,1,4,2,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,NA,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
ZdlsP,anonymous,Yes,female,17,stats,4,2,5,3,4,3,4,3,3,4,3,3,4,4,4,4,3,2,4,3,3,2,3,3,3,4,4,4,4,4,4,3,3,4,4,4,4,2,4,2,3,3,4,2,4,3,4,3,3,4,4,4,3,1,2,2,2,4,1,4,3,4,3,4,4,3,4,3,3,4,4,4,4,1,2,1,2,3,2,3,3,4,3,3,3,3,3,3,2,3,3,4,3,3,2,4,3,1,2,3,3,4,3,1,2,2,2,3,2,1,2,2,3,3,2,1,3,2,1,1,2,1,2,2,1,1,0,0,1,1,NA,NA,NA,NA,NA,2,2,1,3,1,1,2,1,2,3,2,1,3,2,1,1,3,1,3,2,1
Cntlm,anonymous,Yes,female,18,stats,3,3,3,4,3,2,5,4,5,5,1,3,4,1,5,2,4,3,3,3,3,4,3,4,2,3,4,3,1,2,5,5,2,5,3,5,3,2,2,4,3,4,3,3,NA,3,4,3,4,3,2,4,4,2,1,1,2,2,1,2,2,2,1,4,4,4,NA,1,4,4,3,5,5,2,4,3,4,4,2,3,2,4,2,1,1,3,3,1,1,1,1,2,4,3,2,3,1,2,3,4,1,4,1,2,1,1,3,2,1,1,1,1,3,4,4,2,3,1,3,2,4,1,3,1,3,1,0,0,1,1,NA,NA,NA,NA,NA,2,1,2,1,1,1,1,2,1,2,3,1,2,1,2,3,2,1,2,2,3
wG2TR,anonymous,Yes,female,19,maths,4,4,3,4,3,3,4,5,1,5,1,2,3,3,5,3,1,2,3,4,3,3,3,3,2,4,2,2,3,3,2,3,1,3,3,3,3,2,2,2,4,3,2,3,2,3,4,2,3,4,4,4,3,1,1,1,1,1,2,3,3,3,3,4,4,4,4,4,5,5,4,4,3,1,2,1,1,1,2,2,3,2,3,2,3,2,3,4,1,2,2,3,2,2,2,2,2,2,2,3,1,3,2,3,1,2,2,2,3,1,3,1,2,2,3,2,3,1,1,2,2,1,2,1,3,NA,NA,NA,NA,NA,0,1,0,1,1,1,2,2,2,2,1,2,1,2,3,2,2,1,2,1,1,3,1,2,1,3
GIdfy,anonymous,Yes,other/pnts,20,stats,2,1,2,2,1,1,4,4,2,3,2,1,4,3,4,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,4,2,3,1,3,1,1,1,1,1,2,1,1,2,2,2,2,1,1,4,1,1,1,3,3,1,1,1,4,1,2,1,1,3,1,1,2,1,1,3,1,1,1,1,2,1,1,1,4,1,4,2,2,4,2,2,4,4,4,4,3,4,4,2,2,3,4,3,3,4,3,4,4,4,4,2,4,4,3,4,4,4,4,4,3,4,3,4,4,2,4,4,1,0,0,1,1,NA,NA,NA,NA,NA,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,2,3,3
7cNhh,anonymous,Yes,female,19,maths,3,1,3,2,2,2,3,3,3,4,2,1,4,1,4,2,3,3,2,2,3,3,1,2,1,2,2,1,2,2,3,2,2,3,1,3,2,1,2,1,3,3,1,2,2,2,3,3,3,3,2,3,2,1,3,1,1,3,1,2,3,3,2,3,3,4,4,3,4,4,1,4,4,1,3,1,1,3,1,3,3,4,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,0,1,0,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1
0Sbvm,anonymous,NA,female,19,maths,1,4,1,3,4,2,2,3,4,4,3,2,3,1,4,3,3,1,4,3,3,4,3,2,4,3,2,3,2,2,4,5,4,3,1,2,2,1,2,2,3,1,3,3,1,1,4,3,2,4,4,5,2,1,2,1,1,2,1,3,4,2,1,2,2,2,3,2,2,4,3,4,3,1,3,3,5,2,4,4,3,4,2,1,2,2,2,2,2,3,3,2,2,3,3,3,3,2,3,3,1,2,2,3,2,1,2,1,3,2,3,2,2,1,4,2,3,2,3,3,3,4,2,3,4,NA,NA,NA,NA,NA,1,0,1,0,0,2,2,4,2,3,3,4,3,2,4,3,3,1,3,4,3,3,4,3,2,3
